,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Team ID
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
0,Atalanta,28,27.1,50.4,33,363,2970,33.0,61,49,110,57,4,4,70,1,47.3,44.2,35.3,79.4,600,1484,1.85,1.48,3.33,1.73,3.21,1.43,1.07,2.5,1.34,2.41,922493f3
1,Bologna,27,26.0,58.1,34,385,3150,35.0,47,29,76,43,4,5,81,2,44.2,40.2,29.9,70.1,620,1379,1.34,0.83,2.17,1.23,2.06,1.26,0.85,2.12,1.15,2.0,1d8099f8
2,Cagliari,28,26.9,42.4,34,374,3060,34.0,35,25,60,32,3,5,68,3,37.1,33.4,25.0,58.4,481,1012,1.03,0.74,1.76,0.94,1.68,1.09,0.74,1.83,0.98,1.72,c4260e09
3,Empoli,34,26.8,44.0,34,374,3060,34.0,23,17,40,19,4,4,74,0,31.3,28.3,22.5,50.8,478,965,0.68,0.5,1.18,0.56,1.06,0.92,0.66,1.58,0.83,1.49,a3d88bd8
4,Fiorentina,29,27.8,57.5,33,363,2970,33.0,49,33,82,46,3,7,71,0,44.6,39.0,29.6,68.6,558,1459,1.48,1.0,2.48,1.39,2.39,1.35,0.9,2.25,1.18,2.08,421387cf
5,Frosinone,34,25.0,50.2,34,374,3060,34.0,43,28,71,35,8,10,63,2,40.4,32.6,26.5,59.0,482,1192,1.26,0.82,2.09,1.03,1.85,1.19,0.78,1.97,0.96,1.74,6a7ad59d
6,Genoa,32,27.5,44.2,34,374,3060,34.0,38,23,61,34,4,5,76,3,31.8,28.0,20.6,48.6,423,954,1.12,0.68,1.79,1.0,1.68,0.94,0.61,1.54,0.82,1.43,658bf2de
7,Hellas Verona,34,26.5,44.8,34,374,3060,34.0,31,24,55,29,2,6,80,5,31.0,26.2,21.4,47.6,481,1002,0.91,0.71,1.62,0.85,1.56,0.91,0.63,1.54,0.77,1.4,0e72edf2
8,Inter,26,29.9,56.9,34,385,3150,35.0,79,55,134,66,13,14,45,1,72.6,61.7,51.4,113.1,666,1505,2.26,1.57,3.83,1.89,3.46,2.07,1.47,3.54,1.76,3.23,d609edc0
9,Juventus,29,27.3,48.7,34,374,3060,34.0,45,34,79,42,3,5,77,2,49.5,45.5,35.3,80.8,629,1306,1.32,1.0,2.32,1.24,2.24,1.46,1.04,2.49,1.34,2.38,e0652b02
10,Lazio,22,29.0,53.0,34,385,3150,35.0,42,27,69,38,4,4,94,5,43.3,40.2,29.8,70.0,676,1416,1.2,0.77,1.97,1.09,1.86,1.24,0.85,2.09,1.15,2.0,7213da33
11,Lecce,26,25.7,44.0,34,374,3060,34.0,29,22,51,26,3,5,83,5,39.2,35.3,27.5,62.7,562,1029,0.85,0.65,1.5,0.76,1.41,1.15,0.81,1.96,1.04,1.84,ffcbe334
12,Milan,33,27.3,56.2,34,374,3060,34.0,64,47,111,59,5,7,78,8,55.2,49.8,38.5,88.3,794,1380,1.88,1.38,3.26,1.74,3.12,1.62,1.13,2.76,1.46,2.6,dc56fe14
13,Monza,30,27.6,53.0,34,385,3150,35.0,37,28,65,33,4,5,83,4,37.3,33.8,26.1,59.9,673,1131,1.06,0.8,1.86,0.94,1.74,1.07,0.75,1.81,0.97,1.71,21680aa4
14,Napoli,29,28.0,61.3,34,374,3060,34.0,51,34,85,45,6,9,73,5,56.5,49.2,39.7,88.9,722,1562,1.5,1.0,2.5,1.32,2.32,1.66,1.17,2.83,1.45,2.62,d48ad4ff
15,Roma,30,28.7,54.8,34,374,3060,34.0,60,42,102,50,10,11,90,2,46.3,38.0,31.0,69.1,590,1306,1.76,1.24,3.0,1.47,2.71,1.36,0.91,2.27,1.12,2.03,cf74a709
16,Salernitana,36,28.2,45.0,34,374,3060,34.0,26,22,48,24,2,2,81,3,26.8,25.2,20.5,45.7,455,1018,0.76,0.65,1.41,0.71,1.35,0.79,0.6,1.39,0.74,1.35,c5577084
17,Sassuolo,30,27.2,44.0,34,385,3150,35.0,40,28,68,34,6,7,64,3,36.7,31.5,24.3,55.8,596,1200,1.14,0.8,1.94,0.97,1.77,1.05,0.7,1.74,0.9,1.6,e2befd26
18,Torino,28,27.2,51.6,34,385,3150,35.0,30,24,54,28,2,2,71,2,35.2,33.7,27.9,61.6,673,1247,0.86,0.69,1.54,0.8,1.49,1.01,0.8,1.8,0.96,1.76,105360fe
19,Udinese,32,26.6,39.4,34,374,3060,34.0,31,20,51,29,2,3,90,5,35.0,33.1,24.9,58.0,550,919,0.91,0.59,1.5,0.85,1.44,1.03,0.73,1.76,0.97,1.7,04eea015
